source,target,weight,bits
A0A6C0ED38,A0A644SXT0,0.413,752
A0A6C0ED38,A0A644TEG1,0.433,749
A0A6C0ED38,A0A381S6T6,0.389,710
A0A6C0ED38,A0A6A7S9U7,0.391,708
A0A6C0ED38,A0A381SJ02,0.403,704
A0A6C0ED38,A0A2P2BYA8,0.402,685
A0A6C0ED38,A0A380TBJ6,0.401,676
A0A6C0ED38,A0A644X6F7,0.401,251
A0A6C0ED38,A0A098E9U6,0.402,250
A0A6C0ED38,A0A098EA56,0.397,246
A0A6C0ED38,A0A644Z8F8,0.395,244
A0A6C0ED38,A0A380TBT6,0.379,234
A0A6C0ED38,A0A2P2BYA5,0.376,228
A0A6C0ED38,A0A644XNZ4,0.366,221
A0A6C0ED38,A0A644YJC0,0.362,219
A0A6C0ED38,A0A6A7S922,0.355,216
A0A6C0ED38,A0A2P2CAW5,0.36,214
A0A381UV11,A0A645JM79,0.526,105
A0A381UV11,A0A644W3K2,0.446,99
A0A381UV11,A0A644TLT6,0.401,87
A0A381UV11,A0A6J5ZN98,0.392,62
A0A381UV11,A0A6J6FN67,0.364,57
A0A381UV11,A0A094R0S2,0.371,55
A0A381UV11,A0A6J6B8S8,0.357,53
A0A382GMT6,A0A381Y5A0,0.852,525
A0A382GMT6,A0A381NR38,0.641,377
A0A382GMT6,A0A381VFE6,0.587,327
A0A382GMT6,A0A382D7U8,0.539,301
A0A382GMT6,A0A6J5ZEX1,0.524,285
A0A382GMT6,A0A382RT59,0.58,282
A0A382GMT6,A0A381SC57,0.503,271
A0A382GMT6,A0A381RW23,0.5,268
A0A382GMT6,A0A381TYK3,0.454,245
A0A382GMT6,A0A381RW63,0.458,243
A0A382GMT6,A0A381TW63,0.444,234
A0A382GMT6,A0A644Z1Q8,0.65,229
A0A382GMT6,A0A380TET7,0.44,225
A0A382GMT6,A0A382E8L3,0.419,211
A0A382GMT6,A0A381ZHP8,0.405,207
A0A382GMT6,A0A0W8F1J4,0.412,201
A0A382GMT6,A0A098EB84,0.402,193
A0A382GMT6,A0A484SGW9,0.36,175
A0A644X6R6,A0A380TDV5,0.415,130
A0A644X6R6,A0A381QVC9,0.389,115
A0A644X6R6,A0A645DGI7,0.356,104
A0A644X6R6,A0A644XUI1,0.34,104
A0A644X6R6,A0A6A7SCJ1,0.353,101
A0A644X6R6,A0A2P2C106,0.322,85
A0A644X6R6,A0A2P2CCC0,0.313,83
A0A644X6R6,A0A645HQ66,0.331,79
A0A644X6R6,A0A645J6J5,0.304,69
W1Y3N0,A0A645AKM6,0.429,93
W1Y3N0,A0A644WK33,0.422,91
W1Y3N0,A0A0F9JGS9,0.386,83
W1Y3N0,T1BLP3,0.39,82
W1Y3N0,X0Z276,0.382,80
W1Y3N0,A0A2H9TC77,0.384,79
W1Y3N0,A0A381Q3L6,0.367,78
W1Y3N0,A0A381UC56,0.386,77
W1Y3N0,A0A644T609,0.362,74
W1Y3N0,A0A382EH67,0.355,72
A0A2P2CCD5,A0A2P2C4P7,0.305,115
A0A2P2CCD5,A0A382F8L9,0.416,41
A0A380TFT6,A0A381R9Y2,0.489,664
A0A380TFT6,A0A381PW46,0.36,442
A0A380TFT6,A0A381NFA7,0.346,410
A0A380TFT6,A0A381SW73,0.379,407
A0A381R409,A0A381QM57,0.454,400
A0A381R409,A0A381NCE6,0.413,349
A0A381R409,A0A381SX73,0.396,333
A0A381R409,A0A381T7V2,0.395,332
A0A381R409,A0A381NQB5,0.372,310
A0A381R409,A0A381UR02,0.323,254
A0A381R409,A0A381UCT6,0.321,254
A0A381R409,A0A381XCR9,0.317,250
A0A381R409,A0A644TXX6,0.308,237
A0A381R409,A0A382B6M4,0.3,202
A0A382HFT6,A0A382GIQ4,0.998,525
A0A382HFT6,A0A382CHT4,0.777,393
A0A382HFT6,A0A6J6ASS5,0.74,373
A0A382HFT6,A0A6J6A3L1,0.713,357
A0A382HFT6,A0A382J197,0.709,317
A0A382HFT6,A0A2P2C0V8,0.629,306
A0A382HFT6,A0A2P2CJH2,0.615,306
A0A382HFT6,A0A6J6B4W8,0.602,289
A0A382HFT6,A0A6J6E6T3,0.612,287
A0A382HFT6,A0A6J6CEA8,0.602,282
A0A6C0D598,A0A6C0ETN6,0.529,1175
A0A6C0D598,A0A6C0KI02,0.541,1151
A0A6C0D598,A0A6C0LR39,0.542,1146
A0A6C0D598,A0A6C0E9T3,0.507,1138
A0A6C0D598,A0A6C0DLX9,0.535,1130
A0A6C0D598,A0A6C0ASE4,0.521,1098
A0A6C0D598,A0A6C0DRP4,0.517,1084
A0A6C0D598,A0A6C0B3Y6,0.511,1066
A0A6C0D598,A0A6C0H329,0.502,1043
A0A6C0D598,A0A6C0JJL0,0.476,1043
A0A6C0D598,A0A6C0D834,0.502,1042
A0A6C0D598,A0A6C0B248,0.495,1035
A0A6C0D598,A0A6C0B911,0.498,1033
A0A6C0D598,A0A6C0HQM4,0.497,1030
A0A6C0D598,A0A6C0AR55,0.474,993
A0A6C0D598,A0A6C0F7I1,0.472,990
A0A6C0D598,A0A6C0ESH1,0.48,983
A0A6C0D598,A0A6C0LDL2,0.478,977
A0A6C0D598,A0A6C0EFD9,0.477,975
A0A6C0D598,A0A6C0DLZ7,0.476,972
A0A6C0D598,A0A6C0F3T9,0.468,972
A0A6C0D598,A0A6C0I8D9,0.472,970
A0A6C0D598,A0A6C0BC56,0.474,967
